LabID,ProfessorID,LabName,LabDescription,LabWebsite,LabKeywordResearchField,LabAddress,LabEmail,LabPhone,LabSize
12,25,OSCAR Lab,"The OSCAR Lab is an inter-disciplinary computer-systems research group. We explore opportunities in the entire computing stack including, but not limited to: Operating Systems, Virtualization, System Security, Concurrency, Compilers, and Computer Architecture.",https://oscarlab.github.io/,"Operating Systems, Virtualization, System Security, Concurrency, Compilers, and Computer Architecture",NULL,NULL,NULL,7
13,26,AI Assisted Learning Lab,This lab works at the intersection of Artificial Intelligence and education to design AI-enabled learning technologies with the goal of improving access to quality education for a diverse range of students.,https://research.csc.ncsu.edu/aial/home/,Artificial Intelligence and education to design AI-enabled learning technologies,"Venture IV, North Carolina State University
 1730 Varsity Dr
 Raleigh, NC, USA",NULL,NULL,8
14,27,CEREAL Lab,"Pioneering research in the Computing Education Research Engaging All Learners Lab investigates innovative strategies to enhance learning and engagement among middle and high-school-aged students underrepresented in computing. Through a multidisciplinary approach that combines pedagogical theory, curriculum development, and cutting-edge technology, Dr. Cateté’s CEREAL Lab delves into the effectiveness of interactive coding platforms, collaborative virtual environments, and gamified programming exercises in fostering deeper comprehension and sustained interest in computer science. Dr. Cateté’s research not only addresses the challenges of inclusivity and diversity in the field of computer science but also offers actionable insights for educators and administrators to create dynamic and accessible learning experiences, ultimately shaping the future of computer science education.",https://cereal.wordpress.ncsu.edu/,"K-12 Computer Science Education
 Curriculum Development, Scaffolding
 Broadening Participation in Computing",NULL,NULL,NULL,8
15,28,IoT Smarthome Lab,"The lab emulates a smart room inside a smart home or building. The room is equipped with various off-the-shelf IoT devices that you would typically find in a smart home or building. The list of devices includes smart voice assistants, ring door bell, smart plugs, smart lights, motion sensors, smart tv and smart routers. The list of devices is growing over time.",https://anupamdas.org/IoTlab.html,"Online privacy Network traffic analysis Privacy in IoT Privacy enhancing technologies
Inference attacks Usable security and privacy Machine Learning+Privacy Anonymity networks","890 Oval Drive
Engineering Building II
Room 2240G
Raleigh, NC 27695",anupam.das@ncsu.edu,NULL,8
16,29,Wolfpack Security and Privacy Research Lab,"Welcome to the Wolfpack Security and Privacy Research (WSPR) Laboratory in the department of Computer Science at North Carolina State University. The WSPR Laboratory (pronounced “whisper”) models, designs, builds, and validates technology that protects users, systems, and networks from malicious and privacy-infringing acts. The group’s seven faculty members and affiliated students work on all areas of cybersecurity, from designing new cryptographic constructs to ensure protected execution of code to empirical studies on how software is secured by developers; from finding flaws in existing operating systems to building systems resilient from known attacks; from detecting malicious activity such as malware and denial of service attacks to building networks and mechanisms to prevent abuse. The WSPR Lab works to secure all types of computer systems, from legacy telephone networks to emerging technologies like smartphones and Internet of Things devices.",https://wspr.csc.ncsu.edu/,cybersecurity,NULL,NULL,NULL,33
17,30,ARNAV Lab,"Jhala’s research group investigates computational structures and methods that are useful in representing and mediating human interpretation and communication of narrative in interactive visual media, such as film and games. The Jhala research group uses symbolic and probabilistic tools to represent and construct coherent visual discourse and apply generative techniques for automated and semi-automated tools to interpret and collaboratively create visual narratives. Past projects include development of games for eliciting aesthetic preferences in domains such as photographic composition, aesthetics of play for highly skilled game players, and gestural aesthetics of dance. Methods used in the lab vary from analysis of existing data sets (such as analysis of movies or game replays), development of games and systems to elicit specific type of behavior, and development of novel designs to push the boundaries of creativity through computation.",https://arnav.wordpress.ncsu.edu/,mediating human interpretation and communication of narrative in interactive visual media,NULL,NULL,NULL,7
18,31,CharMLab,"At the UNC Charlotte Machine Learning Lab, innovation knows no bounds. Whether you hail from academia, industry, or are an eager undergraduate or a curious high schooler, our doors are always open to those with a passion for pushing the boundaries of machine learning. We believe that the most groundbreaking discoveries often come from diverse perspectives, interdisciplinary collaborations, and unbridled enthusiasm. If you're ready to contribute to pioneering research, engage in hands-on learning, and become a part of a community dedicated to excellence and growth, then the Machine Learning Lab is your new academic home. Dive into a world of algorithms, data, and transformative applications, and together, let's shape the future of technology. Welcome aboard!",https://charlotteml.github.io/,"AI Theory Computer Vision
Data Science Natural Language Processing Reinforcement Learning Time Series Analysis","Woodward Hall,
 8723 Cameron Blvd,
 Charlotte, NC 28262",xiang.zhang@charlotte.edu,704-687-1898,29
19,32,Du-Lab,"Welcome to the website of the Du-Lab at the Department of Bioinformatics and Genomics within the College of Computing and Informatics, University of North Carolina at Charlotte.
Our research and development work focuses on developing computational algorithms, data analytics and visual analytics software tools, and web resources for metabolomics, exposomics, and proteomics research and applications.
Out lab is dedicated to training passionate bioinformaticians and data scientists and welcome you to apply for open positions. Here, you will also see the teaching activities of Dr. Xiuxia Du, the PI of the Lab. We are located on the North Carolina Research Campus in Kannapolis, North Carolina.",http://www.du-lab.org/Home.html,"Computational Metabolomics, Exposomics, and Proteomics","Department of Bioinformatics & Genomics
 University of North Carolina at Charlotte",xiuxia.du@uncc.edu,704-687-7307,10
20,33,Video and Image Analysis Lab,"The Video and Image Analysis Lab in the Department of Computer Science at UNC Charlotte focuses on research that shapes the future of how people interact with computers. Our primary research areas are biomedical image analysis, computer vision, human-computer interaction, virtual environments, and virtual humans, and our work addresses interdisciplinary problems that engage the broader community. The lab provides a stimulating, collaborative environment for working on the most interesting, socially-relevant research questions in computing.",https://vialab.charlotte.edu/,"biomedical image analysis, computer vision, human-computer interaction, virtual environments, and virtual humans",NULL,NULL,NULL,15
21,34,LIISP,"Lab of Information Integration, Security, and Privacy: National Center of Academic Excellence in Information Assurance Education designated by the National Security Agency and the Department of Homeland Security.
The mission of the Laboratory of Information Integration, Security, and Privacy (LIISP) is to add value to the university, community, and society through innovative educational programs, research and development in the areas of information integration, security, and privacy.",https://liisp.charlotte.edu/,"Information Integration, Security","333F Woodward Hall
 9201 University City Blvd
 Charlotte, NC 28223",mshehab@uncc.edu,704-687-7476,6
22,35,CCI SmartHome Lab,"The CCI SmartHome Lab is for UNCC students and faculty who intend to conduct research in an exciting new space. This is facilitated with the hardware and software in the lab that emulates a ""smart home"" environment. A variety of research topics can be pursued with the resources the IoT lab provides; this ranges from hardware security to usability studies for IoT devices.
The lab is split up into two sections. It contains a traditional lab environment that holds workstations and space for collaboration. The rest of the lab has been configured to represent a real, functioning living room in a typical smart home. This area contains many of the WiFi-connected devices that have become commonplace in households.",https://sites.google.com/uncc.edu/uncc-smart-lab/home?authuser=0,IoT,"Woodward Hall Room 308
 9201 University City Blvd
 Charlotte, NC 28223",cci-smarthomelab@uncc.edu,NULL,11
23,36,Cyber Defense and AI Lab,"The main goal of the Cyber Defense and AI lab, led by Dr. Kaushik Roy, is to promote advanced and interdisciplinary research on cybersecurity, cyber identity, trustworthy and explainable AI, adversarial machine learning, and data science.",https://kaushikroy.github.io/CIB.html,"cybersecurity, cyber identity, trustworthy and explainable AI, adversarial machine learning, and data science","Cyber Defense and AI Lab, MERIC 371
 North Carolian A&T State University
 1601 E. Market Street
 Greensboro, NC 27411",kroy@ncat.edu,NULL,23
24,37,Dr. Letu Qingge Lab,"Actively looking for self-motivated Ph.D. and Master students who are interested in the area of algorithms, machine learning, deep learning and has a strong Python/C++ programming skills and math background. The candidates with a BS or MS in computer science are preferrable. Industrial experience and many years of hands-on programming/software development are a plus. If you are interested, please reach out to me at lqingge at ncat dot com.",https://letuqingge.github.io/research-group-app/,"Algorithms and Combinatorial Optimization Machine Learning and Deep Learning
Bioinformatics and Computational Biology Computer Vision, Image Processing
Neural Network Control Transportation Network, Smart Transportation",NULL,lqingge@ncat.edu,NULL,8
25,38,TML-ACS laboratory,"The TML-ACS laboratory focuses on providing security solutions to practical problems using artificial intelligence. The laboratory integrates software engineering, machine learning, data science and cybersecurity.The mission of the laboratory is:
 to become a frontier research center of excellence in cybersecurity, to train and mentor students to become excellent researchers and scientists, to win grants, generate patents and publish research papers",https://odeyomi.github.io/lab.html,"software engineering, machine learning, data science and cybersecurity",NULL,NULL,NULL,5
26,39,eXplainable Deep Intelligence Lab,"Our research lab is focused on developing cutting-edge technologies in the fields of Computer Vision (CV) and Natural Language Processing (NLP) for Computer Aided Detection (CAD) on local and Cloud computing clusters. Specifically, we are working on applied Deep Learning (DL) for localization and segmentation, sentiment analysis and response generation with the focus on explainability (XAI).",https://xdilab.com/,"Computer Vision, Natural Language Processing, Computer Aided Detection (CAD) on local and Cloud computing clusters","North Carolina A&T State University
 Department of Computer Science
 MERIC 331, 1101 E Market St, Greensboro, NC 27401",hmoradi@ncat.edu,336-285-4641,10
27,41,IFFS-ML Lab,"In the IFFS-ML Lab, students gain excellence in research and excel in ethical and responsible research. The research theme—with the believe that there always exists a much smarter solution for any given artificial intelligence, data science, or big data problem in the infinite family of feature (IFF) space—is to search for hidden patterns (i.e., useful information) in the IFF space by leveraging efficient computational techniques along with smart machine learning, machine active learning, actively regularized tensor learning approaches, and big data technologies. The goal is to define and analyze the intrinsic “necessary and sufficient” conditions of the IFF space and machine learning models and algorithms to solve modern any-data (big or trivial data) problems for peace-of-mind adaptation. The research goal includes the study of the asymptotic behavior of the IFF space to derive models that are smart and secure, while handling data complexity, heterogeneity and scalability problems, and the adaptation of the concept of infinite family of feature space for discovering transformative knowledge from any data and developing secure and smart machine learning methods—machine learning as a master-key—for interdisciplinary research.
 We have accomplished many interdisciplinary research projects, in collaboration with national and international experts, that include cyber-threat detection (e.g., malicious activities), privacy-preserving models, anomaly detection, retinal disease classification, facial emotion detection, brain tumor detection, traffic crash hot-spot detection, pedestrian detection, urban expansion modeling, students mental models analytics, natural language prediction, and mixed fruits and vegetables classification, optimization of big data techniques, and technologies.",https://sites.google.com/view/shan-suthaharan/iffs-ml-lab?authuser=0,Frequency-Driven Machine Learning,NULL,s_suthah@uncg.edu,NULL,6
28,42,Interactive Realitites Laboratory - IRLAB,"The Interactive Realities Laboratory (IRLAB) at the University of North Carolina - Greensboro is discovering how to improve virtual and augmented realities, to create the final extended reality experience.
 The laboratory is directed by Dr. Regis Kopper in several research projects to boost the usability of extended reality.
 This lab works to improve many fields such as public safety, health care, neuroscience, and the humanities.
 Using new tangible devices, the lab strives to implement an extended reality experience without the drawbacks that presently exist.",https://interactive-realities.netlify.app/,virtual realities and augmented realities,NULL,NULL,NULL,17
29,46,CU GAME LAB,"In this lab, we use a human-centered approach to investigate mediated experience and social dynamics forged surrounding technological objects and collaborative systems including multiplayer online games, eSports, live streaming, social VR, social media, IoT, and smart city.
 We bring an interdisciplinary perspective to these topics and contribute to a better understanding of the specific ways in which interactive technologies affect and support interpersonal dynamics, in order to design and develop more inclusive, supportive, and fulfilling collaborative online systems.
 We are especially interested in technology-mediated communication and participation in various contexts (e.g., entertainment, education, workplace, design, criminal justice, and medicine), computer-mediated interpersonal relationships and group behaviors, digital creativity, and collective innovation.
 If you are a prospective student who is interested in joining our lab, please read our CUGAME Lab Handbook. This document should help you understand who we are and whether our lab is a good match for your personality, interests, and research approaches.",https://computing.clemson.edu/cugame/index.html,"Interaction Dynamics and Social Experiences in Social Virtual Reality (VR), Redesigning Democratized Technology: The Broadening of Citizen Participation in Bottom-Up Technological Innovation, Games, Social Media, Live Streaming, & AI","111D McAdams Hall, 821 McMillan Rd, Clemson, SC",guof@clemson.edu,NULL,4
30,47,DataVis Lab,"The DataVis Lab at Clemson University focuses on the analysis and visualization of large, multifaceted scientific data.
 Our research interests include: Topological approaches for scientific visualization
 Mesh processing for scientific data analysis High performance computing for data visualization
 Multivariate and ensemble data visualization We are also part of the Visual Computing Lab at Clemson University.",https://davislab.github.io/,"Topological approaches for scientific visualization
 Mesh processing for scientific data analysis
 High performance computing for data visualization
 Multivariate and ensemble data visualization",NULL,NULL,NULL,8
31,48,AI-SENDS Lab,"In the AI-based Sensing, Networking, and Data Services (AI-SENDS) Research Group, we are working on developing sensing, networking, and data-driven actuation networks powered by computational intelligence. At the core of our research activities is developing predictive models for smart AI-native agents to learn the environment and take actions based on their anticipated consequences while accommodating networking constraints. Our vision is AI4Networking and Networking4AI for Next Gen Systems. We are particularly passionate about applied research, working with domain researchers from different expertise to leverage the developed method in different application areas.",https://arazi2.github.io/aisends.github.io//,"AI-based Sensing, Networking, and Data Services, sensing, networking, and data-driven actuation networks powered by computational intelligence",NULL,NULL,NULL,12
32,49,Human Factors Software Engineering Team,"We research and work to improve the productivity of software engineers. By studying human behavior through the lens of sociology, psychology, and human-computer interaction, we are able to craft solutions that software engineers can utilize during development, maintenance, and collaboration. Our focus is on the productivity of programmers, remote work, onboarding newcomers, source code comprehension, computer science education, and software engineering for autism.",http://clemsonhfse.com/,"productivity of programmers, remote work, onboarding newcomers, source code comprehension, computer science education, and software engineering for autism.","100 McAdams Hall
 Clemson, South Carolina 29634",prodegh@clemson.edu,NULL,7
33,50,TigerSec Laboratory,"Mert D. Pesé is an Assistant Professor of Computer Science and Founding Director of the TigerSec Laboratory in the School of Computing at Clemson University. He received two B.S. degrees in Electrical Engineering and Computer Science and an M.S. in Electrical Engineering from the Technical University of Munich in 2014, 2015 and 2016, respectively. He received his Ph.D. degree in Computer Science and Engineering from the University of Michigan in 2022.
 His current research focuses on autonomous vehicle security, adversarial machine learning, as well as automotive data privacy. In particular, he focuses on in-vehicle network security, Android security, as well as attacks against the AI stack of autonomous vehicles. He has several peer-reviewed publications in top security and privacy venues, such as CCS, PETS and ACSAC. He has worked and collaborated with several automotive companies, such as General Motors, Ford, Audi, and Harman.",https://mpese.com/,"Autonomous Vehicle Security
 Adversarial Machine Learning
 Automotive Data Privacy",NULL,mpese@clemson.edu,NULL,18
34,51,Machine Learning and Evolution Laboratory,"Welcome to UofSC Machine Learning and Evolution Laboratory (MLEG) at the Department of Computer Science and Engineering, University of South Carolina. Our research focuses on development of deep learning, machine learning, data mining, and evolutionary algorithms for knowledge discovery and innovation in material science, bioinformatics, medical and health sciences, engineering designs, and etc. We have worked on DNA regulatory motif discovery, microarray analysis, phenotype prediction/computational disease diagnosis, and gene/protein function prediction, X-ray data based phase mapping, protein-DNA, protein-ligand binding, breast cancer diagnosis based on image processing, cell segmentation, DFT based material doping, and etc.
 Currently, we are working on deep learning based generative inverse design of materials and proteins, drug design,crystal structure prediction, deep learning and its applications in materials discovery, computer vision, Natural Language Processing, Audio/Sound Pattern Recognition, and fault diagnosis. We seek to develop and apply the latest artificial intelligence algorithms such as machine learning, deep learning, genetic algorithms, genetic programming, dimension reduction, non-linear mapping, sparse coding, and etc to solve challenging scientific and real-world problems.",http://mleg.cse.sc.edu/,"Deep learning, Machine learning, Material Informatics, Bioinformatics, Data mining, Health Informatics","Storey Innovation Center 2240
 Department of Computer Science and Engineering
 University of South Carolina
 Columiba, SC, 29208",jianjunh@cse.sc.edu,803-777-7304,12
35,52,Artificial Intelligence and Systems Laboratory,"The AISys lab welcomes people of any race, religion, national origin, gender identity, family commitments, political affiliation, sexual orientation, and eligible age or ability. We investigate various open problems at the intersection of artificial intelligence, machine learning, and computer systems. We develop novel algorithmic and theoretically principled methods grounded in mathematics for systems problems with the ultimate goal of building reliable and high-performance machine learning systems. On the application side, we aim to develop the next generation of autonomous systems (on-device, embedded, heterogeneous, cloud, robotics) that can perceive, reason, and react to complex real-world environments and users with high levels of precision and efficiency. Overall, we aim to conduct cutting-edge and high-impact research through full-stack approaches that encourage lab members with algorithms, systems, and math skills to solve critical and practical challenges at the intersection of AI+Systems.",https://pooyanjamshidi.github.io/AISys/,"artificial intelligence, machine learning, and computer systems",Storey Innovation Center Office: 2207 (Lab: 2212),pjamshid@cse.sc.edu,NULL,8
36,53,Dynamical Systems and AI Research Group,"We study dynamical systems, complex networks,
 and build ML tools that facilitate dynamic data analysis and learning.",https://vigsnar.github.io/,"dynamical systems, complex networks, ML",NULL,NULL,NULL,9
37,54,Autonomous Field Robotics Laboratory,"The goal of the Autonomous Field Robotics Laboratory (AFRL) is to research mobile robotics and in particular cooperating intelligent agents with application to multi-robot cooperative localization, mapping, exploration and coverage.",https://afrl.cse.sc.edu/afrl/home/,mobile robotics,NULL,yiannisr@cse.sc.edu,NULL,10
38,55,Multiagent and Agent-Based Systems Laboratory,"We build: Agent-Based simulations of social systems and business processes
 Multiagent algorithms for distributed coordination and distributed resource allocation Web applications
 This research has been funded in part by the NSF 2012-14, NSF 2011-14, NSF 2008-2011, Darpa 1999-2002, and an NSF CAREER grant 2001-2006.",https://jmvidal.cse.sc.edu/mdl/index.html,Agent-Based simulations of social systems and business processes,NULL,NULL,NULL,3
39,56,Human-Computer Interaction (HCI) Lab,"The Human-Computer Interaction (HCI) Lab investigates how immersive technologies can be designed and developed to facilitate user experience in education and healthcare. We study, design and prototype computing tools for digital capture and analysis of user-centered experiences in healthcare and education, drawing from the perspectives of patients, caregivers, students, and educators. Our research spans multimodal machine learning, data science, mixed reality and human-centered computing in general.",https://sites.udel.edu/hci-lab/,"multimodal machine learning, data science, mixed reality and human-centered computing","119 South Main Street Newark, DE 19711",hci-lab@udel.edu,NULL,10
40,57,healthy lAife,"We leverage AI and ML techniques to study various ways that individuals can have a healthier life. Sometimes, we work with existing ML algorithms and in some cases, we create our own. We use various modalities of data including electronic health records, imaging, and wearable sensor datasets. Most notably, we have been working on several projects in the area of obesity and diabetes research. Welcome to healthy lAife!",https://sites.udel.edu/healthylaife/,AI and ML,"Room 214, Smith Hall, 18 Amstel Ave,
 Newark, DE",healthylaife@udel.edu,302-831-0072,9
41,58,Computational Neural Information Engineering Laboratory,"CNIEL is a team of researchers: computer scientists, data scientists, and engineers (electrical, computer, and neural) led by Austin J. Brockmeier and engaged in research, education, and outreach, focused on Data Science, Machine Learning, and Signal Processing in order to extract actionable information from complex data, especially to understand and interface with the brain.",https://www.eecis.udel.edu/~ajbrock/,"Data Science, Machine Learning, neuroscience, signal processing","114 Evans Hall
 139 The Green, Newark, Delaware 19716",ajbrock@udel.edu,NULL,9
42,59,Computational Research and Programming Lab,"We focus on exploring programming models and their usage to parallelize and accelerate scientific applications on large scale supercomputers including Summit, Perlmutter, JUWELS and the upcoming Frontier.",https://crpl.cis.udel.edu/,"exploring programming models, migrating large scale scientific applications to next-generation platforms including the exascale systems, developing validation and verification testsuites for OpenMP and OpenACC and applying ML for life science","111 S Main St, Newark, DE 19711",NULL,NULL,12
43,60,X-Lab,X-Lab is a research lab affiliated with the Department of Computer and Information Sciences (CIS) at the University of Delaware. We are located within the innovative FinTech building at the University of Delaware's Science Technology and Advanced Research (STAR) Campus. Our primary research focus lies in addressing the latest emerging cyber threats through the development of novel computer systems and comprehensive large-scale empirical measurement studies.,https://xgao-work.github.io/xlab.html,cybersecurity,innovative FinTech building at the University of Delaware's Science Technology and Advanced Research (STAR) Campus,NULL,NULL,5
44,61,Information and Communication Technology for Development (ICTD) Lab,"Information and Communication Technology for Development (ICTD) Lab is an inter-disciplinary group that explores how technology can improve the lives of underserved populations in low-income regions. Our research has wide range that includes HCI, Systems, Communication and Data Analytics. We are part of the Department of Computer Science & Engineering at the University of Washington. We collaborate with folks from other departments like Department of Global Health and organizations like PATH and Red Cross.",https://ictd.cs.washington.edu/,"HCI, Systems, Communication and Data Analytics",NULL,kheimerl@cs.washington.edu,NULL,22
45,62,UW Interactive Data Lab,OUR MISSION is to enhance people's ability to understand and communicate data through the design of new interactive systems for data visualization and analysis.,https://idl.cs.washington.edu/,data visualization and analysis,NULL,NULL,NULL,15
46,63,H2Lab,"Our lab’s goal is to develop general-purpose AI algorithms that represent, comprehend, and reason about diverse forms of data at large scale. We publish at NLP conferences (ACL, NAACL, EMNLP), AI and ML conferences (AAAI, ICLR), and Computer vision conferences (CVPR, ICCV, ECCV). Toward this end, our lab focuses on research efforts to address foundational problems in AI and NLP. We build algorithms that balance three competing desiderata: interpretable, robust with high performance, and efficient and scalable in the following categories:",https://h2lab.cs.washington.edu/,"AI, NLP",NULL,NULL,NULL,16
