UniversityID,UniversityName,UniversitySite,State,Address,Tel,Ranking,Expenses(On),Expenses(off),LivingEnvironment
34,University of Oregon,https://www.uoregon.edu/,Oregon,"1585 E 13th Ave. Eugene, OR 97403",541-346-1000,70,"21,000",NULL,B+
35,Portland State University,https://www.pdx.edu/,Oregon,"1825 SW Broadway. Portland, OR 97201",503-725-3000,120,"23,796",NULL,B
36,Oregon Health and Science University,https://www.ohsu.edu/,Oregon,"3181 S.W. Sam Jackson Park Road. Portland, OR 97239-3098",503-494-8311,139,NULL,"33,372",A+
37,University of Utah,https://www.utah.edu/,Utah,"201 PRESIDENTS CIRCLE, SALT LAKE CITY, UT 84112",801-581-7200,41,"22,600","27,100",A 
38,Brigham Young University,https://www.byu.edu/,Utah,"Brigham Young University, Provo, UT 84602",801-422-4636,97,"13,648","16,560",A 
39,Utah State University,https://www.usu.edu/,Utah,"Old Main Hill, Logan, UT 84322",(435) 797-1000,120,"13,692","13,938",B+
40,University of Washington,https://www.washington.edu/,Washington,"1410 NE Campus Parkway, Seattle, WA 98195",206-543-2100,5,"21,909","21,909",A+
41,Washington State University,https://wsu.edu/,Washington,"255 E Main St, Pullman, WA 99163",509-339-8105,83,"36,137",NULL,A-
42,University of Wyoming,https://www.uwyo.edu,Wyoming,"1000 E. University Ave. Laramie, WY 82071",(307) 766-1121,161,"21,726","18,326",A-
43,"University of Minnesota, Twin Cities",https://twin-cities.umn.edu/,Minnesota,"Minneapolis, MN 55455-0213",612-625-2008,35,"17,878",NULL,A
44,Walden University,https://www.waldenu.edu/,Minnesota,"100 Washington Avenue South, Suite 900, Minneapolis, Minnesota 55401",1-866-492-5336,202,"18,116",NULL,A
45,Washington University in St. Louis,https://wustl.edu/,Missouri,"1 Brookings Drive, St. Louis, MO 63130",314-935-5000,41,"22,010",NULL,A+
46,University of Missouri,https://missouri.edu/,Missouri,"Columbia, MO 65211",573-882-7786,105,"20,696",NULL,A-
47,Missouri University of Science & Technology,https://www.mst.edu/,Missouri,"Missouri S&T, Rolla, MO 65409",800-522-0938,139,"21,547",NULL,B+
48,University of Missouri - Kansas City,https://www.umkc.edu/,Missouri,"5000 Holmes St. Kansas City, MO 64110",816-235-1000,161,"17,298","17,820",B+
49,University of Nebraska - Lincoln,https://www.unl.edu/,Nebraska,"1400 R Street, Lincoln, NE 68588",402-472-7211,83,"21,180","21,180",A-
50,University of Nebraska - Omaha,https://www.unomaha.edu/,Nebraska,"6001 Dodge Street, Omaha, NE, 68182",402-554-2800,171,"16,604","16,992",B+
51,North Dakota State University,https://www.ndsu.edu/,North Dakota,"1340 Administration Ave, Fargo, ND 58102",(701) 231-8011,185,"13,332",NULL,B+
52,Ohio State University,https://www.osu.edu/,Ohio,"281 W. Lane Ave. Columbus, OH 43210",614-292-3980,24,"22,742",NULL,A+
53,Case Western Reserve University,https://case.edu/,Ohio,"10900 Euclid Ave., Cleveland, OH 44106",216-368-2000,65,"22,003","10,048",A+
54,University of Cincinnati,https://www.uc.edu/,Ohio,"2600 Clifton Ave. Cincinnati, OH 45221",513-556-0000,114,"26,422",NULL,A-
55,Ohio University,https://www.ohio.edu/,Ohio,Athens OH 45701,740-593-1000,152,"17,350",NULL,A-
56,Air Force Institute of Technology,https://www.afit.edu/,Ohio,"Wright-Patterson Air Force Base, OH 45433-7765",937-255-6565,161,NULL,NULL,B+
57,Wright State University,https://www.wright.edu/,Ohio,"3640 Colonel Glenn Hwy. Dayton, OH 45435 USA",937-775-1000,161,"23,350","23,592",B-
58,Cleveland State University,https://www.csuohio.edu/,Ohio,"2121 Euclid Avenue, Cleveland, OH 44115-2214",(216) 687-2000,171,36036,36929,B
59,Kent State University,https://www.kent.edu/,Ohio,"800 E. Summit St. Kent, OH 44242",330-672-3000,171,"13,040",NULL,B
60,University of Toledo,https://www.utoledo.edu/,Ohio,"2801 W. Bancroft St. Toledo, OH 43606",800-586-5336,185,"31,566","26,807",B
61,Dakota State University,https://dsu.edu/,South Dakota,"820 N Washington Ave. Madison, SD 57042",605-256-5111,193,"14,628",NULL,B
62,University of Wisconsin-Madison,https://www.wisc.edu/,Wisconsin,"Madison, WI 53715",608-263-2400,12,"20,226",NULL,A+
63,University of Wisconsin-Milwaukee,https://uwm.edu/,Wisconsin,"Milwaukee, WI 53201",414-229-4846,120,"15,069",NULL,B
64,Marquette University,https://www.marquette.edu/,Wisconsin,"1250 W. Wisconsin Ave. Milwaukee, WI 53233",(800) 222-6544,152,"29,536",NULL,B+
65,George Washington University,https://www.gwu.edu/,DC,"2121 I St NW, Washington, DC 20052",202-994-1000,70,80945,80945,A
66,Georgetown University,https://www.georgetown.edu/,DC,"37th and O Streets, N.W. Washington, D.C. 20057",202-687-0100,83,84696,NULL,A+
67,Howard University,https://howard.edu/,DC,"2400 Sixth Street NW, Washington, DC 20059",202-806-6100,120,51450,59526,B+
68,The Catholic University of America ,https://www.catholic.edu,DC,"620 Michigan Ave., N.E. Washington, DC 20064",202-319-5000,202,75006,76806,B+
69,University of Puerto Rico at Mayag?ez,https://www.uprm.edu/,Puerto Rico,"259 Norte Blvd. Alfonso Valdés Cobián, Mayagüez, Puerto Rico",(787) 832-4040,171,NULL,22556,C
70,Yale University,https://www.yale.edu/,Connecticut,"New Haven, CT 06520",203-432-4771,20,85120,NULL,A+
71,University of Connecticut,https://uconn.edu/,Connecticut,"Storrs, Connecticut 06269",(860) 486-2000,77,59706,61472,A
72,University of Bridgeport,https://www.bridgeport.edu/,Connecticut,"126 Park Avenue, Bridgeport, CT 06604",18003923582,202,60982,56538,C+
73,University of Maine,https://umaine.edu/,Maine,"168 College Ave, Orono, ME 04469",207-581-1865,171,49056,49056,A+
74,Massachusetts Institute of Technology,https://www.mit.edu/,Massachusetts,"77 Massachusetts Avenue, Cambridge, MA 02139, USA",617-253-1000,1,79850,79850,A+
75,Harvard University,https://www.harvard.edu/,Massachusetts,"Massachusetts Hall, Cambridge, MA 02138",(617) 495-1000,17,83538,NULL,A+
76,University of Massachusetts-- Amherst,https://www.umass.edu/,Massachusetts,"Amherst, MA 01003",413-545-0111,24,54694,54694,A-
77,Northeastern University,https://www.northeastern.edu/,Massachusetts,"360 Huntington Ave, Boston, MA 02115",617-373-2200,35,81422,81422,A+
78,Boston University,https://www.bu.edu/,Massachusetts,"233 Bay State Road, Boston, MA 02215",617-353-2300,50,82760,82760,A+
79,Tufts University,https://www.tufts.edu/,Massachusetts,"419 Boston Ave, Medford, MA 02155",617-627-5000,60,84600,84600,A
80,Worcester Polytechnic Institute,https://www.wpi.edu/,Massachusetts,"100 Institute Road, Worcester, MA| 01609-2280",508-831-5000,97,76040,76040,B+
81,Brandeis University,https://www.brandeis.edu/,Massachusetts,"415 South Street, Waltham, MA 02453",781-736-2000,105,81914,76896,A
82,University of Massachusetts--Boston,https://www.umb.edu/,Massachusetts,"100 Morrissey Blvd. Boston, MA 02125",617-287-5000,120,55723,54804,B
83,University of Massachusetts--Lowell,https://www.uml.edu/,Massachusetts,"Lowell, MA 01854",978-934-4000,120,51100,43770,B
84,Princeton University,https://www.princeton.edu/,New Jersey,"Princeton, NJ 08544",609-258-3000,8,80415,NULL,A+
85,"Rutgers, The State University of New Jersey--New Brunswick",https://www.rutgers.edu/,New Jersey,"New Brunswick, NJ",848-445-4636,41,53466,64609,C+
86,New Jersey Institute of Technology,https://www.njit.edu/,New Jersey,"University Heights, Newark, NJ 07102 USA",(973) 596-3000,91,56622,56422,B-
87,Stevens Institute of Technology,https://www.stevens.edu/,New Jersey,"1 Castle Point Terrace, Hoboken, NJ 07030",201-216-5000,97,77954,77954,A+
88,"Rutgers, The State University of New Jersey--Newark",https://www.newark.rutgers.edu/,New Jersey,"35 Warren Street, Newark, New Jersey 07102 ",973-353-5205,105,53285,63994,A-
89,Dartmouth College,https://home.dartmouth.edu/,New Hampshire,"Hanover, NH 03755 USA",(603) 646-1110,48,83802,NULL,A+
90,University of New Hampshire,https://www.unh.edu/,New Hampshire,"Durham, NH 03824",603-862-1234,120,54260,54260,A
91,Cornell University,https://www.cornell.edu/,New York,"Martin Y. Tang Welcome Center, 616 Thurston Ave. Ithaca, NY 14853",(607) 254-4636,7,83196,83196,A
92,Columbia University,https://www.columbia.edu/,New York,"116th and Broadway, New York, NY 10027",212-854-1754,14,86097,87165,A+
93,New York University,https://www.nyu.edu/,New York,"50 West 4th Street, New York, NY, 10012",(212) 998-1212,35,82095,82095,A+
94,Stony Brook University--SUNY,https://www.stonybrook.edu/,New York,"100 Nicolls Road, Stony Brook, NY 11794",(631) 632-6000,46,48438,53006,B+
95,Rensselaer Polytechnic Institute,https://www.rpi.edu/,New York,"110 Eighth Street, Troy, NY USA 12180",(518) 276-6000,60,79934,NULL,B
96,University of Rochester,https://www.rochester.edu/,New York,"Rochester, NY 14627",(585) 275-2121,60,82600,NULL,B
97,University at Buffalo--SUNY,https://www.buffalo.edu/,New York,"12 Capen Hall, Buffalo, New York 14260-1660",716-645-2000,65,49186,47646,A+
98,Syracuse University,https://www.syracuse.edu/,New York,"900 South Crouse Ave. Syracuse, NY 13244",315-443-1870,70,80947,80947,B+
99,Rochester Institute of Technology,https://www.rit.edu/,New York,"One Lomb Memorial Drive, Rochester, NY 14623",585-475-2411,77,72296,72296,A+
100,Binghamton University--SUNY,https://www.binghamton.edu/,New York,"4400 Vestal Parkway East, Binghamton, NY 13902",(607) 777-2000,105,47709,47709,A
101,CUNY Graduate School and University Center,https://www.gc.cuny.edu/,New York,"365 FIFTH AVENUE, NEW YORK, NY 10016",877-428-6942,114,43520,40547,A+
102,University at Albany--SUNY,https://www.albany.edu/,New York,"1400 Washington Avenue, Albany, NY 12222",518-442-3300,120,46946,47078,A-
103,Pace University,https://www.pace.edu/,New York,"One Pace Plaza, New York, NY 10038",(866) 722-3338,193,73252,77522,A+
104,LIU Post,https://liu.edu/post,New York,"1 University Plaza, Brooklyn, NY 11201",718-488-1011,202,60244,68368,A+
105,Carnegie Mellon University,https://www.cmu.edu/,Pennsylvania,"5000 Forbes Avenue, Pittsburgh, PA 15213",412-268-2000,4,80230,78730,A+
106,Pennsylvania State University--University Park,https://admissions.psu.edu/pennstate/campuses/university-park/,Pennsylvania,"201 Shields Bldg. University Park, PA 16802",814-865-5471,35,58263,58263,A+
107,University of Pittsburgh,https://www.pitt.edu/,Pennsylvania,"4200 Fifth Ave. Pittsburgh, PA 15260",412-624-4141,57,53268,53176,A
108,Drexel University,https://drexel.edu/,Pennsylvania,"3141 Chestnut Street, Philadelphia, PA 19104",215-895-2000,83,79145,79790,A
109,Lehigh University,https://www1.lehigh.edu/,Pennsylvania,"27 Memorial Drive West, Bethlehem, PA 18015 USA",610-758-3000,91,77885,77885,A-
110,Temple University,https://www.temple.edu/,Pennsylvania,"1801 N. Broad Street, Philadelphia, PA 19122 USA",(215) 204-7000,97,57283,57283,C+
111,University of Pennsylvania,https://www.upenn.edu/,Pennsylvania,"Philadelphia, PA 19104",(215) 898-5000,17,85738,83134,A+
112,Brown University,https://www.brown.edu/,Rhode Island,Providence RI 02912,401-863-1000,31,83686,NULL,A
113,University of Rhode Island,https://www.uri.edu/,Rhode Island,"Kingston, RI 02881, USA",1.401.874.1000,139,51632,51580,A+
114,University of Vermont,https://www.uvm.edu/,Vermont,"Burlington, VT 05405",(802) 656-3131,120,60969,61494,A
115,University of Illinois--Urbana-Champaign,https://illinois.edu/,Illinois,"Champaign, IL",217-333-1000,5,50106,NULL,A
116,University of Chicago,https://www.uchicago.edu/,Illinois,"Edward H. Levi Hall, 5801 S. Ellis Ave. Chicago, IL 60637",773-702-1234,24,86856,NULL,A
117,Northwestern University,https://www.northwestern.edu/,Illinois,"633 Clark Street, Evanston, IL 60208",(847) 491-3741,31,89394,89394,A+
118,university of illinois chicago,https://www.uic.edu/,Illinois,"1200 West Harrison St. Chicago, Illinois 60607",(312) 996-7000,60,50480,50480,A-
119,Illinois Institute of Technology,https://www.iit.edu/,Illinois,"10 West 35th Street, Chicago, IL 60616",312-567-3000,83,71910,69640,B
120,Toyota Technological Institute at Chicago,https://www.ttic.edu/,Illinois,"6045 South Kenwood Ave, Chicago, IL 60637",773-834-2500,91,NULL,NULL,C
121,DePaul University,https://www.depaul.edu/Pages/default.aspx,Illinois,"1 E. Jackson Blvd. Chicago, IL 60604",(312) 362-8000,161,62553,62553,A+
122,Southern Illinois University--Carbondale,https://siu.edu/,Illinois,"Carbondale, IL 62901",(618) 453-2121,193,30089,30089,B
123,Purdue University--West Lafayette,https://www.purdue.edu/,Indiana,"610 Purdue Mall, West Lafayette, IN 47906",765-494-4600,20,41724,41724,A
124,University of Notre Dame,https://www.nd.edu/,Indiana,"Notre Dame, IN 46556 USA",(574) 631-5000,50,80211,80211,A
125,Indiana University--Bloomington,https://bloomington.iu.edu/,Indiana,"107 S. Indiana Avenue, Bloomington, IN 47405-7000",812-855-4848,57,55130,55130,A
126,Indiana University-Purdue University--Indianapolis,https://www.iupui.edu/,Indiana,"420 University Blvd. Indianapolis, IN 46202",317-274-5555,139,47218,48916,B+
127,Indiana State University,https://www.indstate.edu/,Indiana,"200 North Seventh Street Terre Haute, Indiana, USA 47809-1902",(812)-237-6311,171,36090,36534,B
128,Iowa State University,https://www.iastate.edu/,Iowa,"Ames, Iowa 50011",515-294-4111,60,39956,39956,A
129,University of Iowa,https://uiowa.edu/,Iowa,"Iowa City, Iowa 52242",319-335-3500,70,48846,48846,A
130,University of Kansas,https://ku.edu/,Kansas,"Strong Hall, 1450 Jayhawk Blvd. Lawrence, KS 66045",785-864-2700,97,42641,42499,A+
131,Kansas State University,https://www.k-state.edu/,Kansas,"Manhattan, KS 66506",785-532-6011,114,42057,40637,A+
132,Wichita State University,https://www.wichita.edu/,Kansas,"1845 Fairmount St. Wichita, Kansas  67260",(316) 978-3456,161,35486,34148,A-
133,University of Michigan--Ann Arbor,https://umich.edu/,Michigan,"500 S. State Street, Ann Arbor, MI 48109 USA",(734) 764-1817,11,72154,72154,A+
134,Michigan State University,https://msu.edu/,Michigan,"426 Auditorium Road, East Lansing, MI 48824",(517) 355-1855,50,57576,57576,A
135,Michigan Technological University,https://www.mtu.edu/,Michigan,"1400 Townsend Drive, Houghton, Michigan 49931-1295",906-487-188,120,55238,55238,A-
136,Wayne State University,https://wayne.edu/,Michigan,"42 W. Warren Ave. Detroit, MI 48202",313-577-2424,120,48237,49992,A-
137,Oakland University,https://oakland.edu/,Michigan,"318 Meadow Brook Rd, Rochester, MI 48309",(248) 370-2100,185,38366,37634,A-
138,University of Michigan--Dearborn,https://umdearborn.edu/,Michigan,"4901 Evergreen Rd, Dearborn, MI 48128, US",313-583-6330,185,NULL,43320,B+
139,Western Michigan University,https://wmich.edu/,Michigan,Kalamazoo MI 49008-5200 USA,(269) 387-1000,185,33057,33057,A-
140,University of Texas at Austin,https://www.utexas.edu/,Texas,"Main Building (MAI), 110 Inner Campus Drive, Austin, TX 78712",512-471-3434,8,59618,59840,A+
141,Rice University,https://www.rice.edu/,Texas,"6100 Main St., Houston, TX 77005-1827",713-348-0000,31,74110,74110,A+
142,Texas A&M University at College station,https://www.tamu.edu/,Texas,"400 Bizzell St, College Station, TX 77843",979-845-3211,41,59153,59153,A
143,University of Texas at Dallas,https://www.utdallas.edu/,Texas,"800 W. Campbell Road Richardson, Texas 75080-3021",972-883-2111,65,56290,57194,B
144,University of Texas at Arlington,https://www.uta.edu/,Texas,"701 S. Nedderman Drive Arlington, TX 76019",817-272-2011,83,47047,47047,A-
145,University of Houston,https://www.uh.edu/,Texas,"Houston, Texas 77204",(713) 743-2255,105,37993,38917,B
146,University of Texas at San Antonio,https://www.utsa.edu/,Texas,"One UTSA Circle, San Antonio, TX 78249",210-458-4011,114,36151,37653,B+
147,Southern Methodist University,https://www.smu.edu/,Texas,"6425 Boaz Lane, Dallas TX 75205",214-768-2000,120,83130,74080,A+
148,Texas Tech University,https://www.ttu.edu/,Texas,"2500 Broadway Lubbock, Texas 79409",806-742-2011,120,40292,40292,A-
149,University of Texas at El Paso,https://www.utep.edu/,Texas,"500 West University Avenue, El Paso, TX 79968",915-747-5000,120,39792,43370,B+
150,University of North Texas,https://www.unt.edu/,Texas,"1155 UNION CIRCLE #311277, DENTON, TEXAS 76203-5017",940-565-2000,139,36090,37362,A
151,University of Oklahoma,https://www.ou.edu/,Oklahoma,"660 Parrington Oval, Norman, OK 73019-0390",(405) 325-0311,120,49241,49241,A
152,Oklahoma State University,https://go.okstate.edu/,Oklahoma,"Stillwater, OK   74078",(405) 744-5000,139,41724,41724,A-
153,University of Tulsa,https://utulsa.edu/,Oklahoma,"800 S. Tucker Drive Tulsa, OK 74104",918-631-2000,171,65607,66504,A-
154,Louisiana State University Baton Rouge,https://www.lsu.edu/,Louisiana,"Baton Rouge, LA 70803",225-578-3202,105,51555,53013,B-
155,University of Louisiana at Lafayette,https://louisiana.edu/,Louisiana,"104 E. University Circle, Lafayette, LA 70503",(337) 482-1000,139,42522,42908,A-
156,Louisiana Tech University,https://www.latech.edu/,Louisiana,"Ruston, LA 71272",318-257-2000,185,31713,32625,B+
157,University of New Orleans,https://www.uno.edu/,Louisiana,"2000 Lakeshore Drive New Orleans, LA 70148",888-514-4275,193,32952,31246,B-
158,University of Arkansas at Fayetteville,https://www.uark.edu/,Arkansas,"1 University of Arkansas, Fayetteville, AR 72701",479-575-2000,152,46054,46054,A
159,University of Arkansas at Little Rock,https://ualr.edu/,Arkansas,"2801 S. University Ave. Little Rock, AR 72204",501-916-3000,171,35428,39324,B
160,Mississippi State University,https://www.msstate.edu/,Mississippi,"Mississippi State, MS 39762",(662) 325-2323,152,43153,43153,A-
161,University of Mississippi,https://olemiss.edu/,Mississippi,"P.O. Box 1848, University, MS 38677 USA",(662) 915-7211,152,45130,45130,A
162,University of Southern Mississippi,https://www.usm.edu/,Mississippi,"118 College Drive, Hattiesburg, MS 39406-0001",601-266-1000,193,28000,27870,B+
163,Auburn University,https://www.auburn.edu/,Alabama,"Auburn, Alabama 36849",(334) 844-4000,97,55186,55186,A+
164,University of Alabama,https://www.ua.edu/,Alabama,"Tuscaloosa, AL 35487",(205) 348-6010,120,52384,52384,B+
165,University of Alabama at Birmingham,https://www.uab.edu/home/,Alabama,"Birmingham, AL 35294",(205) 934-4011,120,41293,42753,A
166,University of Alabama at Huntsville,https://www.uah.edu/,Alabama,"301 Sparkman Drive, Huntsville, AL 35899",256-824-1000,152,42770,42770,A
167,University of South Alabama,https://www.southalabama.edu/,Alabama,"MOBILE, ALABAMA 36688",(251) 460-6101,201,32321,33821,B
168,Georgia Institute of Technology,https://www.gatech.edu/,Georgia,"North Avenue, Atlanta, GA 30332",404.894.2000,8,49218,49218,A+
169,Emory University,https://www.emory.edu/home/index.html,Georgia,"201 Dowman Drive, Atlanta, GA 30322",404.727.6123,77,78814,78814,A
170,University of Georgia,https://www.uga.edu/,Georgia,"Athens, GA 30602",7065423000,91,46582,45198,A
171,Georgia State University,https://www.gsu.edu/,Georgia,"33 Gilmer Street SE Atlanta, GA 30303",404-413-2000,114,44188,46969,A
172,University of Florida,https://www.ufl.edu/,Florida,"Gainesville, FL 32611",352-392-3261,48,44089,44089,A
173,University of Central Florida,https://www.ucf.edu/,Florida,"4000 Central Florida Blvd. Orlando, Florida, 32816",407-823-2000,70,40135,40135,A
174,Florida State University,https://www.fsu.edu/,Florida,"Tallahassee, FL 32306",850-644-2525,91,36910,36910,A
175,University of South Florida,https://www.usf.edu/,Florida,"4202 E. Fowler Avenue, Tampa, FL 33620, USA",813-974-2011,105,35566,34788,A+
176,Florida International University,https://www.fiu.edu/,Florida,"11200 SW 8th Street, Miami, Florida 33199",305-348-2000,120,37279,40659,B-
177,University of Miami,https://welcome.miami.edu/,Florida,"Coral Gables, FL 33124",305-284-2211,139,79020,83260,A+
178,Florida Atlantic University,https://www.fau.edu/,Florida,"777 Glades Road, Boca Raton, FL 33431",561-297-3000,152,37298,41072,A
179,Florida Institute of Technology,https://www.fit.edu/,Florida,"150 W. University Blvd. Melbourne, FL 32901",(321) 674-8000,171,61016,60810,A-
180,Nova Southeastern University,https://www.nova.edu/,Florida,"3300 S. University Drive, Fort Lauderdale, FL, 33328-2004",866-387-3486,208,56870,62280,A
181,Vanderbilt University,https://www.vanderbilt.edu/,Tennessee,"Nashville, Tennessee 37240",615-322-7311,50,84412,NULL,A+
182,University of Tennessee Knoxville,https://www.utk.edu/,Tennessee,"Knoxville, Tennessee 37996",865-974-1000,70,51078,51078,A-
183,University of Memphis,https://www.memphis.edu/,Tennessee,"Memphis, TN 38152",901-678-2000,161,32360,33966,B
184,Tennessee State University,https://www.tnstate.edu/,Tennessee,"3500 John A. Merritt Boulevard, Nashville, TN 37209",(615) 963-5000,193,37248,43196,C
185,Tennessee Technological University,https://www.tntech.edu/,Tennessee,"1 William L Jones Dr, Cookeville, TN 38505",(931) 372-3101,193,37016,37016,B+
186,University of Kentucky,https://www.uky.edu/,Kentucky,"Lexington, Kentucky 40506",859 257-9000,97,52482,49954,A
187,University of Louisville,https://louisville.edu/,Kentucky,"2301 South 3rd Street, Louisville, KY 40292",502-852-5555,161,48026,48334,A-
188,West Virginia University,https://www.wvu.edu/,West Virginia,"PO Box 6201, Morgantown, WV 26506",304-293-0111,139,42136,39718,B-
189,University of Virginia,https://www.virginia.edu/,Virginia,"Charlottesville, VA 22904",434-924-0311,24,73704,73704,A
190,Virginia Tech,https://www.vt.edu/,Virginia,"Blacksburg, VA 24061",540-231-6000,35,52526,51874,A+
191,George Mason University,https://www.gmu.edu/,Virginia,"4400 University Drive, Fairfax, Virginia 22030",(703)993-1000,65,56885,61825,B+
192,William & Mary,https://www.wm.edu/,Virginia,"Williamsburg, VA 23185",757-221-4000,70,64344,64344,A+
193,Old Dominion University,https://www.odu.edu/,Virginia,"5115 Hampton BlvdNorfolk, VA 23529",757-683-3000,139,48950,48950,B-
194,Virginia Commonwealth University,https://www.vcu.edu/,Virginia,"Richmond, VA 23284",(804) 828-1463,139,57025,59328,B+
195,"University of Maryland, College Park",https://umd.edu/,Maryland,"College Park, MD 20742, USA",301-405-1000,17,57873,60037,B+
196,Johns Hopkins University,https://www.jhu.edu/,Maryland,"Baltimore, Maryland",410-516-8000,23,80800,76968,A
197,University of Maryland at Baltimore County,https://umbc.edu/,Maryland,"Baltimore County 1000 Hilltop Circle, Baltimore, MD 21250",410-455-5555,77,47559,50816,A
198,Towson University,https://www.towson.edu/,Maryland,"8000 York Road, Towson, MD 21252",410-704-2000,185,44722,44722,A+
199,Bowie State University,https://www.bowiestate.edu/,Maryland,"14000 Jericho Park Road, Bowie, MD 20715-9465",301-860-4000,193,46053,43942,B-
200,Duke University,https://duke.edu/,North Carolina,"2080 Duke University Road, Durham, NC 27708",(919) 684-8111,20,82749,NULL,A
201,University of North Carolina at Chapel Hill,https://www.unc.edu/,North Carolina,"Chapel Hill, NC",919-962-2211,24,53810,53810,A+
202,North Carolina State University,https://www.ncsu.edu/,North Carolina,"Raleigh, NC 27695",919-515-2011,50,47493,47493,A+
